samengesteld,gegevens,omschrijving,aantal,vereenvoudigd,LandTypeNed,LandTypeWet,opp,SbbType,Bedekking_num
"e1+h2+t+v4","toevoeging","begaanbaarheid kragge+Hennegras+Kleine lisdodde+veenmosbedekking",8,,,,1.0268070000000000e+00,,
"e1+h3+t+v2","toevoeging","begaanbaarheid kragge+Hennegras+Kleine lisdodde+veenmosbedekking",2,,,,1.2356250000000000e+00,,
"e1+h3+q+v1","toevoeging","begaanbaarheid kragge+Hennegras+overjarig Riet+veenmosbedekking",3,,,,6.6100800000000004e-01,,
"e1","toevoeging","begaanbaarheid kragge",326,,,,7.2668681999999990e+01,,
"e1+o2+q","toevoeging","begaanbaarheid kragge+opslag+overjarig Riet",8,,,,3.1073229999999996e+00,,
"e1+o4+q","toevoeging","begaanbaarheid kragge+opslag+overjarig Riet",2,,,,1.7202000000000001e-01,,
"e1+nt+o2","toevoeging","begaanbaarheid kragge+niet toegankelijk+opslag",4,,,,1.4609719999999999e+00,,
"e2+nt+q","toevoeging","begaanbaarheid kragge+niet toegankelijk+overjarig Riet",5,,,,2.1579950000000001e+00,,
"e1+nt","toevoeging","begaanbaarheid kragge+niet toegankelijk",22,,,,6.9165929999999989e+00,,
"e1+q","toevoeging","begaanbaarheid kragge+overjarig Riet",89,,,,2.9317067999999999e+01,,
"e1+p3+r2","toevoeging","begaanbaarheid kragge+Pitrus+Rietgras",1,,,,2.2508000000000000e-02,,
"e1+q+r2","toevoeging","begaanbaarheid kragge+overjarig Riet+Rietgras",3,,,,5.4314299999999993e-01,,
"e1+r4","toevoeging","begaanbaarheid kragge+Rietgras",31,,,,1.0713671000000000e+01,,
"e1+h2+q+v1","toevoeging","begaanbaarheid kragge+Hennegras+overjarig Riet+veenmosbedekking",4,,,,6.2582899999999997e-01,,
"e1+h2+q+v2","toevoeging","begaanbaarheid kragge+Hennegras+overjarig Riet+veenmosbedekking",3,,,,8.6891499999999999e-01,,
"e1+h2+p2+q+v3","toevoeging","begaanbaarheid kragge+Hennegras+Pitrus+overjarig Riet+veenmosbedekking",1,,,,2.8153400000000001e-01,,
"e1+o3+q+v1","toevoeging","begaanbaarheid kragge+opslag+overjarig Riet+veenmosbedekking",3,,,,1.3702010000000000e+00,,
"e1+h4+q+v1","toevoeging","begaanbaarheid kragge+Hennegras+overjarig Riet+veenmosbedekking",2,,,,3.0545699999999998e-01,,
"e1+q+t+v4","toevoeging","begaanbaarheid kragge+overjarig Riet+Kleine lisdodde+veenmosbedekking",1,,,,1.4267299999999999e-01,,
"e1+o2+q+v3","toevoeging","begaanbaarheid kragge+opslag+overjarig Riet+veenmosbedekking",4,,,,6.7401399999999989e-01,,
"e2+h2+t+v4","toevoeging","begaanbaarheid kragge+Hennegras+Kleine lisdodde+veenmosbedekking",1,,,,4.0726499999999999e-01,,
"e2+q+t+v1","toevoeging","begaanbaarheid kragge+overjarig Riet+Kleine lisdodde+veenmosbedekking",1,,,,4.4888999999999998e-02,,
"e1+o3+q+v4","toevoeging","begaanbaarheid kragge+opslag+overjarig Riet+veenmosbedekking",2,,,,3.7398300000000001e-01,,
"e1+nt+q+t","toevoeging","begaanbaarheid kragge+niet toegankelijk+overjarig Riet+Kleine lisdodde",1,,,,1.7653700000000000e-01,,
"e1+nt+q+r4","toevoeging","begaanbaarheid kragge+niet toegankelijk+overjarig Riet+Rietgras",2,,,,7.8787400000000007e-01,,
"e1+h2+q+v4","toevoeging","begaanbaarheid kragge+Hennegras+overjarig Riet+veenmosbedekking",4,,,,1.1305999999999998e+00,,
"e1+o2+q+t","toevoeging","begaanbaarheid kragge+opslag+overjarig Riet+Kleine lisdodde",1,,,,2.2337699999999999e-01,,
"e6+nt+q+v4","toevoeging","begaanbaarheid kragge+niet toegankelijk+overjarig Riet+veenmosbedekking",1,,,,1.1540889999999999e+00,,
"e1+h2+m+p2","toevoeging","begaanbaarheid kragge+Hennegras+gemaaid+Pitrus",1,,,,2.4152799999999996e-01,,
"e6+h3+o4+q","toevoeging","begaanbaarheid kragge+Hennegras+opslag+overjarig Riet",1,,,,1.8475300000000000e-01,,
"e5+nt+o2+q","toevoeging","begaanbaarheid kragge+niet toegankelijk+opslag+overjarig Riet",1,,,,4.2049500000000001e-01,,
"e6+h3+o2+v3","toevoeging","begaanbaarheid kragge+Hennegras+opslag+veenmosbedekking",1,,,,9.6375200000000005e-01,,
"e6+h2+p2+v3","toevoeging","begaanbaarheid kragge+Hennegras+Pitrus+veenmosbedekking",2,,,,4.9886100000000000e-01,,
"e6+h2+o2+v4","toevoeging","begaanbaarheid kragge+Hennegras+opslag+veenmosbedekking",8,,,,2.7852350000000006e+00,,
"e1+h4+m+p2","toevoeging","begaanbaarheid kragge+Hennegras+gemaaid+Pitrus",1,,,,3.9094999999999998e-02,,
"e1+p2","toevoeging","begaanbaarheid kragge+Pitrus",12,,,,7.9045500000000013e-01,,
"e1+nt+p2","toevoeging","begaanbaarheid kragge+niet toegankelijk+Pitrus",1,,,,1.3123699999999999e-01,,
"e1+p3","toevoeging","begaanbaarheid kragge+Pitrus",8,,,,5.2765800000000007e-01,,
"e1+m","toevoeging","begaanbaarheid kragge+gemaaid",31,,,,8.3044399999999978e+00,,
"e2+o2+p2","toevoeging","begaanbaarheid kragge+opslag+Pitrus",1,,,,2.3994799999999999e-01,,
"e2+nt+o2","toevoeging","begaanbaarheid kragge+niet toegankelijk+opslag",2,,,,2.8277200000000002e-01,,
"e6","toevoeging","begaanbaarheid kragge",42,,,,5.5423530000000003e+00,,
"e6+p4+r2","toevoeging","begaanbaarheid kragge+Pitrus+Rietgras",1,,,,8.2762000000000002e-02,,
"e6+m","toevoeging","begaanbaarheid kragge+gemaaid",2,,,,1.1910900000000001e-01,,
"e6+v3","toevoeging","begaanbaarheid kragge+veenmosbedekking",15,,,,2.4061360000000001e+00,,
"e6+h2+v4","toevoeging","begaanbaarheid kragge+Hennegras+veenmosbedekking",58,,,,1.4429743000000000e+01,,
"e1+h2+q","toevoeging","begaanbaarheid kragge+Hennegras+overjarig Riet",13,,,,2.2752730000000003e+00,,
"e1+m+p2","toevoeging","begaanbaarheid kragge+gemaaid+Pitrus",5,,,,1.0718680000000003e+00,,
"e2+v2","toevoeging","begaanbaarheid kragge+veenmosbedekking",2,,,,2.0043000000000000e-01,,
"e6+v4","toevoeging","begaanbaarheid kragge+veenmosbedekking",80,,,,2.0464409000000000e+01,,
"e6+o2+q","toevoeging","begaanbaarheid kragge+opslag+overjarig Riet",1,,,,1.4740200000000001e-01,,
"e5+v4","toevoeging","begaanbaarheid kragge+veenmosbedekking",24,,,,6.1691590000000005e+00,,
"e6+h3+v4","toevoeging","begaanbaarheid kragge+Hennegras+veenmosbedekking",13,,,,3.9699559999999998e+00,,
"e6+h2","toevoeging","begaanbaarheid kragge+Hennegras",12,,,,1.2043850000000000e+00,,
"e6+q+v1","toevoeging","begaanbaarheid kragge+overjarig Riet+veenmosbedekking",2,,,,8.0202299999999993e-01,,
"e6+v2","toevoeging","begaanbaarheid kragge+veenmosbedekking",24,,,,3.5262480000000007e+00,,
"e6+h2+q","toevoeging","begaanbaarheid kragge+Hennegras+overjarig Riet",5,,,,1.3567629999999999e+00,,
"e3+h3+q","toevoeging","begaanbaarheid kragge+Hennegras+overjarig Riet",1,,,,2.3414000000000001e-01,,
"e5+nt","toevoeging","begaanbaarheid kragge+niet toegankelijk",1,,,,1.8642300000000001e-01,,
"e6+q","toevoeging","begaanbaarheid kragge+overjarig Riet",7,,,,5.0515500000000002e-01,,
"e6+h2+nt","toevoeging","begaanbaarheid kragge+Hennegras+niet toegankelijk",1,,,,5.5439999999999996e-02,,
"e6+nt","toevoeging","begaanbaarheid kragge+niet toegankelijk",17,,,,4.0506500000000001e+00,,
"e2+nt","toevoeging","begaanbaarheid kragge+niet toegankelijk",13,,,,4.1286459999999989e+00,,
"e4+q+v3","toevoeging","begaanbaarheid kragge+overjarig Riet+veenmosbedekking",2,,,,8.4005200000000002e-01,,
"e1+v4","toevoeging","begaanbaarheid kragge+veenmosbedekking",148,,,,3.8703442000000010e+01,,
"e1+o2","toevoeging","begaanbaarheid kragge+opslag",9,,,,9.2588800000000004e-01,,
"e1+o3+q","toevoeging","begaanbaarheid kragge+opslag+overjarig Riet",4,,,,6.2663599999999997e-01,,
"e1+q+v1","toevoeging","begaanbaarheid kragge+overjarig Riet+veenmosbedekking",17,,,,4.0663010000000002e+00,,
"e1+v1","toevoeging","begaanbaarheid kragge+veenmosbedekking",34,,,,9.7972950000000036e+00,,
"33-1+16-1","vegetatie","Grote brandnetel en Akkerdistel Typische vorm.+Engels raaigras Typische vorm",1,,"RG Grote brandnetel-[Klasse d nitrofiele zomen]+RG Ruw beemdgras-Engels raai-[Weegb-k/K.vo.gras]","RG Urtica dioica-[Galio-Urticetea]+RG Poa triv-Lolium per-[Plantaginetea/Mol-Arrh]",1.4264600000000000e-01,"33-a+16-m",
"e1+nt+o3","toevoeging","begaanbaarheid kragge+niet toegankelijk+opslag",2,,,,4.3143899999999996e-01,,
"e3+v3","toevoeging","begaanbaarheid kragge+veenmosbedekking",2,,,,1.5703600000000001e-01,,
"e3+v1","toevoeging","begaanbaarheid kragge+veenmosbedekking",1,,,,3.3981299999999998e-01,,
"e2+q+v3","toevoeging","begaanbaarheid kragge+overjarig Riet+veenmosbedekking",1,,,,2.0281399999999999e-01,,
"e1+m+v1","toevoeging","begaanbaarheid kragge+gemaaid+veenmosbedekking",3,,,,4.0863300000000002e-01,,
"e3+t+v2","toevoeging","begaanbaarheid kragge+Kleine lisdodde+veenmosbedekking",1,,,,7.5660000000000005e-02,,
"e3+v4","toevoeging","begaanbaarheid kragge+veenmosbedekking",2,,,,4.1570799999999997e-01,,
"e2+q+v2","toevoeging","begaanbaarheid kragge+overjarig Riet+veenmosbedekking",2,,,,4.4478799999999996e-01,,
"e1+m+v4","toevoeging","begaanbaarheid kragge+gemaaid+veenmosbedekking",3,,,,4.6499800000000002e-01,,
"e5+m+v4","toevoeging","begaanbaarheid kragge+gemaaid+veenmosbedekking",1,,,,2.2657500000000000e-01,,
"e1+h2+t","toevoeging","begaanbaarheid kragge+Hennegras+Kleine lisdodde",1,,,,1.2233599999999999e-01,,
"e1+h3+q","toevoeging","begaanbaarheid kragge+Hennegras+overjarig Riet",4,,,,1.2543170000000001e+00,,
"e1+h3+v2","toevoeging","begaanbaarheid kragge+Hennegras+veenmosbedekking",3,,,,3.2824600000000004e-01,,
"e1+h2+p2","toevoeging","begaanbaarheid kragge+Hennegras+Pitrus",2,,,,1.3843800000000001e-01,,
"e1+h4+q","toevoeging","begaanbaarheid kragge+Hennegras+overjarig Riet",1,,,,1.4130999999999999e-01,,
"e2+h4+v3","toevoeging","begaanbaarheid kragge+Hennegras+veenmosbedekking",1,,,,1.2805200000000000e-01,,
"e2+v1","toevoeging","begaanbaarheid kragge+veenmosbedekking",2,,,,1.9694600000000001e-01,,
"e1+t+v4","toevoeging","begaanbaarheid kragge+Kleine lisdodde+veenmosbedekking",4,,,,4.8116500000000001e-01,,
"e1+t","toevoeging","begaanbaarheid kragge+Kleine lisdodde",15,,,,3.4621480000000004e+00,,
"e1+m+p3","toevoeging","begaanbaarheid kragge+gemaaid+Pitrus",1,,,,6.4782999999999993e-02,,
"e3+t+v4","toevoeging","begaanbaarheid kragge+Kleine lisdodde+veenmosbedekking",1,,,,2.1582000000000000e-02,,
"e4+t+v2","toevoeging","begaanbaarheid kragge+Kleine lisdodde+veenmosbedekking",1,,,,4.5710000000000001e-02,,
"e2+q+t","toevoeging","begaanbaarheid kragge+overjarig Riet+Kleine lisdodde",2,,,,2.9406500000000002e-01,,
"e1+nt+q","toevoeging","begaanbaarheid kragge+niet toegankelijk+overjarig Riet",13,,,,8.5926300000000015e+00,,
"e1+o3","toevoeging","begaanbaarheid kragge+opslag",2,,,,7.9854999999999995e-02,,
"e1+r3","toevoeging","begaanbaarheid kragge+Rietgras",7,,,,1.4386770000000002e+00,,
"e1+r2+t","toevoeging","begaanbaarheid kragge+Rietgras+Kleine lisdodde",1,,,,2.6563999999999997e-02,,
"e1+h4","toevoeging","begaanbaarheid kragge+Hennegras",6,,,,6.8281300000000000e-01,,
"e1+q+r4","toevoeging","begaanbaarheid kragge+overjarig Riet+Rietgras",6,,,,2.1119750000000002e+00,,
"e4+q+v4","toevoeging","begaanbaarheid kragge+overjarig Riet+veenmosbedekking",1,,,,2.6511600000000002e-01,,
"e1+nt+t","toevoeging","begaanbaarheid kragge+niet toegankelijk+Kleine lisdodde",4,,,,6.8415800000000004e-01,,
"e4+v4","toevoeging","begaanbaarheid kragge+veenmosbedekking",3,,,,8.2864799999999994e-01,,
"e1+h3+p2","toevoeging","begaanbaarheid kragge+Hennegras+Pitrus",1,,,,1.1747100000000001e-01,,
"e1+p1","toevoeging","begaanbaarheid kragge+Pitrus",1,,,,3.8655299999999998e-01,,
"e1+h2+p1","toevoeging","begaanbaarheid kragge+Hennegras+Pitrus",3,,,,5.6576900000000008e-01,,
"32-6+32B-1","vegetatie","Riet en Grote brandnetel Typische vorm.+Riet en Harig wilgenroosje Typische vorm",1,,"RG Brandnetel-[Klasse d natte strooiselruigten]+Verbond van Harig wilgeroosje","RG Urtica dioica-[Convolvulo-Filipenduletea]+Epilobion hirsuti",4.7586000000000003e-02,"32-f+32B",
"08C-12+36A2-2","vegetatie","Riet met grote zeggen Moeraszegge+Grauwe wilg Typische vorm",1,,"RG Moeraszegge-[Verbond der grote Zeggen]+Associatie van Grauwe wilg","RG Carex acutiformis-[Magnocaricion]+Salicetum cinereae",1.9389500000000001e-01,"08C-b+36A2",
"08-3+08C-5+08-5","vegetatie","Grote lisdodde Typische vorm+Pluimzegge Soortenarme vorm+rietfacies Typische vorm",1,,"RG Grote Lisdodde-[Riet-klasse]+RG Pluimzegge-[Verbond der grote Zeggen]+RG Riet-[Riet-klasse]","RG Typha latifolia-[Phragmitetea]+RG Carex paniculata-[Magnocaricion]+RG Phragmites australis-[Phragmitetea]",1.5102199999999999e-01,"08-d+08C-c+08-f",
"08-5+36A2-2+08B3-3","vegetatie","rietfacies Typische vorm+Grauwe wilg Typische vorm+Riet, Moeraswalstro en Moerasvaren Moerasvaren",1,,"RG Riet-[Riet-klasse]+Associatie van Grauwe wilg+Riet-associatie, subassociatie van Moerasvaren","RG Phragmites australis-[Phragmitetea]+Salicetum cinereae+Typho-Phragmitetum thelypteridetosum",6.8129700000000004e-01,"08-f+36A2+08B3c",
"16-1+08-7","vegetatie","Engels raaigras Typische vorm+Riet en grassen Ruw beemdgras en/of Fioringras",1,,"RG Ruw beemdgras-Engels raai-[Weegb-k/K.vo.gras]+RG Riet-[Riet-klasse]","RG Poa triv-Lolium per-[Plantaginetea/Mol-Arrh]+RG Phragmites australis-[Phragmitetea]",4.8880000000000000e-02,"16-m+08-f",
"39A1-3+39A-5","vegetatie","Zwarte els, Moerasvaren en/of Grote zeggen Oeverzegge+Zwarte els en storingsoorten bramen",1,,"Moerasvaren-elzenbroek, subassoc. v Oeverzegge+RG Gewone braam-[Elzen-verbond]","Thelypterido-Alnetum caricetosum ripariae+RG Rubus fruticosus-[Alnion glutinosae]",1.4653609999999999e+00,"39A1c+39A-b",
"39A-5+40A-1+39A1-3","vegetatie","Zwarte els en storingsoorten bramen+Zachte berk en Veenmossen Pijpenstrootje+Zwarte els, Moerasvaren en/of Grote zeggen Oeverzegge",1,,"RG Gewone braam-[Elzen-verbond]+RG Pijpestrootje-[Verbond der berkenbroekbossen]+Moerasvaren-elzenbroek, subassoc. v Oeverzegge","RG Rubus fruticosus-[Alnion glutinosae]+RG Molinia caerulea-[Betulion pubescentis]+Thelypterido-Alnetum caricetosum ripariae",1.7858400000000001e+00,"39A-b+40A-b+39A1c",
"08C-11+09A2-6+39A1-1","vegetatie","Riet met grote zeggen Pluimzegge+Riet met veenmossen Typische vorm+Zwarte els en storingsoorten Rietklassesoorten",1,,"RG Pluimzegge-[Verbond der grote Zeggen]+Veenmosrietland, typische subassociatie+Moerasvaren-elzenbroek, typische subassociatie","RG Carex paniculata-[Magnocaricion]+Pallavicinio-Sphagnetum typicum+Thelypterido-Alnetum typicum",1.1644700000000001e-01,"08C-c+09A2a+39A1a",
"39A1-1+08B3-3+08C-10","vegetatie","Zwarte els en storingsoorten Rietklassesoorten+Riet, Moeraswalstro en Moerasvaren Moerasvaren+Riet met grote zeggen Oeverzegge",1,,"Moerasvaren-elzenbroek, typische subassociatie+Riet-associatie, subassociatie van Moerasvaren+RG Oeverzegge-[Verbond der grote Zeggen]","Thelypterido-Alnetum typicum+Typho-Phragmitetum thelypteridetosum+RG Carex riparia-[Magnocaricion]",3.3981299999999998e-01,"39A1a+08B3c+08C-a",
"39A-5+39A-4","vegetatie","Zwarte els en storingsoorten bramen+Zwarte els en storingsoorten Brede stekelvaren",1,,"RG Gewone braam-[Elzen-verbond]+RG Brede stekelvaren-[Elzen-verbond]","RG Rubus fruticosus-[Alnion glutinosae]+RG Dryopteris dilatata-[Alnion glutinosae]",5.2514200000000000e-01,"39A-b+39A-e",
"33-2+09-11","vegetatie","Riet en ruigtkruiden bramen+Hennegras Typische vorm",1,,"DG Gewone braam (R. armeniacus)-[nitrofie.zomen]+RG Hennegras-[Klasse der kleine Zeggen]","DG Rubus armeniacus-[Galio-Urticetea]+RG Calamagrostis canescens-[Parvocaricetea]",9.2147999999999994e-02,"33/a+09-g",
"39A-4+39A-5","vegetatie","Zwarte els en storingsoorten Brede stekelvaren+Zwarte els en storingsoorten bramen",1,,"RG Brede stekelvaren-[Elzen-verbond]+RG Gewone braam-[Elzen-verbond]","RG Dryopteris dilatata-[Alnion glutinosae]+RG Rubus fruticosus-[Alnion glutinosae]",5.3598400000000002e-01,"39A-e+39A-b",
"39A1-1+39A-5","vegetatie","Zwarte els en storingsoorten Rietklassesoorten+Zwarte els en storingsoorten bramen",1,,"Moerasvaren-elzenbroek, typische subassociatie+RG Gewone braam-[Elzen-verbond]","Thelypterido-Alnetum typicum+RG Rubus fruticosus-[Alnion glutinosae]",6.9661399999999996e-01,"39A1a+39A-b",
"39A1-3+33-2+32-12","vegetatie","Zwarte els, Moerasvaren en/of Grote zeggen Oeverzegge+Riet en ruigtkruiden bramen+Riet en Harig wilgenroosje Dominantievorm van Harig wilgenroosje",1,,"Moerasvaren-elzenbroek, subassoc. v Oeverzegge+DG Gewone braam (R. armeniacus)-[nitrofie.zomen]+RG Harig wilgeroosje-[Kl. natte strooiselruigt.]","Thelypterido-Alnetum caricetosum ripariae+DG Rubus armeniacus-[Galio-Urticetea]+RG Epilobium hirsutum-[Convolvu.-Filupenduletea]",2.2399000000000002e-01,"39A1c+33/a+32-b",
"09A2-6+39A-4","vegetatie","Riet met veenmossen Typische vorm+Zwarte els en storingsoorten Brede stekelvaren",1,,"Veenmosrietland, typische subassociatie+RG Brede stekelvaren-[Elzen-verbond]","Pallavicinio-Sphagnetum typicum+RG Dryopteris dilatata-[Alnion glutinosae]",2.0281399999999999e-01,"09A2a+39A-e",
"39A-2+33-2+39A1-1","vegetatie","Zachte berk Rietklasse-soorten+Riet en ruigtkruiden bramen+Zwarte els en storingsoorten Rietklassesoorten",1,,"RG Zachte berk-[Elzen-verbond]+DG Gewone braam (R. armeniacus)-[nitrofie.zomen]+Moerasvaren-elzenbroek, typische subassociatie","RG Betula pubescens-[Alnion glutinosae]+DG Rubus armeniacus-[Galio-Urticetea]+Thelypterido-Alnetum typicum",1.2767000000000001e-01,"39A-f+33/a+39A1a",
"08-5+09-12+16-1","vegetatie","rietfacies Typische vorm+Natte Pitrusruigten zure soorten+Engels raaigras Typische vorm",1,,"RG Riet-[Riet-klasse]+RG Pitrus-[Klasse der kleine Zeggen]+RG Ruw beemdgras-Engels raai-[Weegb-k/K.vo.gras]","RG Phragmites australis-[Phragmitetea]+RG Juncus effusus-[Parvocaricetea]+RG Poa triv-Lolium per-[Plantaginetea/Mol-Arrh]",8.1060999999999994e-02,"08-f+09-k+16-m",
"16-1+09-12+33-2","vegetatie","Engels raaigras Typische vorm+Natte Pitrusruigten zure soorten+Riet en ruigtkruiden bramen",1,,"RG Ruw beemdgras-Engels raai-[Weegb-k/K.vo.gras]+RG Pitrus-[Klasse der kleine Zeggen]+DG Gewone braam (R. armeniacus)-[nitrofie.zomen]","RG Poa triv-Lolium per-[Plantaginetea/Mol-Arrh]+RG Juncus effusus-[Parvocaricetea]+DG Rubus armeniacus-[Galio-Urticetea]",2.1215200000000001e-01,"16-m+09-k+33/a",
"39A-1+39A1-3","vegetatie","Zachte berk en Veenmossen Rietklassesoorten+Zwarte els, Moerasvaren en/of Grote zeggen Oeverzegge",1,,"RG Zachte berk-[Elzen-verbond]+Moerasvaren-elzenbroek, subassoc. v Oeverzegge","RG Betula pubescens-[Alnion glutinosae]+Thelypterido-Alnetum caricetosum ripariae",1.4596000000000001e-01,"39A-f+39A1c",
"39A1-1+39A-5+39A1-3","vegetatie","Zwarte els en storingsoorten Rietklassesoorten+Zwarte els en storingsoorten bramen+Zwarte els, Moerasvaren en/of Grote zeggen Oeverzegge",2,,"Moerasvaren-elzenbroek, typische subassociatie+RG Gewone braam-[Elzen-verbond]+Moerasvaren-elzenbroek, subassoc. v Oeverzegge","Thelypterido-Alnetum typicum+RG Rubus fruticosus-[Alnion glutinosae]+Thelypterido-Alnetum caricetosum ripariae",1.4544699999999999e+00,"39A1a+39A-b+39A1c",
"36A2-3+09A2-6+39A1-1","vegetatie","Grauwe wilg zure soorten+Riet met veenmossen Typische vorm+Zwarte els en storingsoorten Rietklassesoorten",1,,"Associatie van Grauwe wilg+Veenmosrietland, typische subassociatie+Moerasvaren-elzenbroek, typische subassociatie","Salicetum cinereae+Pallavicinio-Sphagnetum typicum+Thelypterido-Alnetum typicum",7.5660000000000005e-02,"36A2+09A2a+39A1a",
"40A2-1+40A-1","vegetatie","Zachte berk en Veenmossen Typische vorm+Zachte berk en Veenmossen Pijpenstrootje",1,,"Zompzegge-berkenbroek+RG Pijpestrootje-[Verbond der berkenbroekbossen]","Carici curtae-Betuletum pubescentis+RG Molinia caerulea-[Betulion pubescentis]",1.6281499999999999e-01,"40A2+40A-b",
"36A2-3+09A2-6","vegetatie","Grauwe wilg zure soorten+Riet met veenmossen Typische vorm",1,,"Associatie van Grauwe wilg+Veenmosrietland, typische subassociatie","Salicetum cinereae+Pallavicinio-Sphagnetum typicum",1.6918500000000000e-01,"36A2+09A2a",
"39A-1+36A2-3","vegetatie","Zachte berk en Veenmossen Rietklassesoorten+Grauwe wilg zure soorten",2,,"RG Zachte berk-[Elzen-verbond]+Associatie van Grauwe wilg","RG Betula pubescens-[Alnion glutinosae]+Salicetum cinereae",7.2972400000000004e-01,"39A-f+36A2",
"39A-1+09A2-6","vegetatie","Zachte berk en Veenmossen Rietklassesoorten+Riet met veenmossen Typische vorm",5,,"RG Zachte berk-[Elzen-verbond]+Veenmosrietland, typische subassociatie","RG Betula pubescens-[Alnion glutinosae]+Pallavicinio-Sphagnetum typicum",1.3610860000000000e+00,"39A-f+09A2a",
"08-5+39A-2+39A-5+09A2-6","vegetatie","rietfacies Typische vorm+Zachte berk Rietklasse-soorten+Zwarte els en storingsoorten bramen+Riet met veenmossen Typische vorm",1,,"RG Riet-[Riet-klasse]+RG Zachte berk-[Elzen-verbond]+RG Gewone braam-[Elzen-verbond]+Veenmosrietland, typische subassociatie","RG Phragmites australis-[Phragmitetea]+RG Betula pubescens-[Alnion glutinosae]+RG Rubus fruticosus-[Alnion glutinosae]+Pallavicinio-Sphagnetum typicum",2.1661400000000000e-01,"08-f+39A-f+39A-b+09A2a",
"08C-6+08B3-3","vegetatie","Pluimzegge Typische vorm+Riet, Moeraswalstro en Moerasvaren Moerasvaren",1,,"RG Pluimzegge-[Verbond der grote Zeggen]+Riet-associatie, subassociatie van Moerasvaren","RG Carex paniculata-[Magnocaricion]+Typho-Phragmitetum thelypteridetosum",3.5610799999999998e-01,"08C-c+08B3c",
"08B3-3+08C-5","vegetatie","Riet, Moeraswalstro en Moerasvaren Moerasvaren+Pluimzegge Soortenarme vorm",2,,"Riet-associatie, subassociatie van Moerasvaren+RG Pluimzegge-[Verbond der grote Zeggen]","Typho-Phragmitetum thelypteridetosum+RG Carex paniculata-[Magnocaricion]",3.3372700000000000e-01,"08B3c+08C-c",
"11B2-4+09A2-4","vegetatie","Gewone dophei en Riet Typische vorm+Kamvaren, veenmossen en Ronde zonnedauw veenpluis",1,,"Moerasheide+Veenmosrietland, subassociatie van pijpestrootje","Sphagno palustris-Ericetum+Pallavicinio-Sphagnetum molinietosum",5.3863999999999995e-02,"11B2+09A2b",
"09A2-2+09A2-6","vegetatie","Kamvaren, veenmossen en Ronde zonnedauw Pijpenstrootje+Riet met veenmossen Typische vorm",13,,"Veenmosrietland, subassociatie van pijpestrootje+Veenmosrietland, typische subassociatie","Pallavicinio-Sphagnetum molinietosum+Pallavicinio-Sphagnetum typicum",6.0353050000000001e+00,"09A2b+09A2a",
"09-11+09-12","vegetatie","Hennegras Typische vorm+Natte Pitrusruigten zure soorten",2,,"RG Hennegras-[Klasse der kleine Zeggen]+RG Pitrus-[Klasse der kleine Zeggen]","RG Calamagrostis canescens-[Parvocaricetea]+RG Juncus effusus-[Parvocaricetea]",3.4087699999999999e-01,"09-g+09-k",
"39A-1+36A2-2","vegetatie","Zachte berk en Veenmossen Rietklassesoorten+Grauwe wilg Typische vorm",3,,"RG Zachte berk-[Elzen-verbond]+Associatie van Grauwe wilg","RG Betula pubescens-[Alnion glutinosae]+Salicetum cinereae",3.8734199999999996e-01,"39A-f+36A2",
"39A1-1+08-5","vegetatie","Zwarte els en storingsoorten Rietklassesoorten+rietfacies Typische vorm",1,,"Moerasvaren-elzenbroek, typische subassociatie+RG Riet-[Riet-klasse]","Thelypterido-Alnetum typicum+RG Phragmites australis-[Phragmitetea]",3.8287000000000002e-02,"39A1a+08-f",
"11B2-4+09A2-4+09-8","vegetatie","Gewone dophei en Riet Typische vorm+Kamvaren, veenmossen en Ronde zonnedauw veenpluis+haarmossen Dominantievorm van Gewoon haarmos",1,,"Moerasheide+Veenmosrietland, subassociatie van pijpestrootje+DG Gewoon haarmos-[Klasse der kleine Zeggen]","Sphagno palustris-Ericetum+Pallavicinio-Sphagnetum molinietosum+DG Polytrichum commune-[Parvocaricetea]",2.2657500000000000e-01,"11B2+09A2b+09/c",
"39A-1+08C-1+09A2-6+16-15","vegetatie","Zachte berk en Veenmossen Rietklassesoorten+Oeverzegge Typische vorm+Riet met veenmossen Typische vorm+Pijpenstrootje Degradatievorm van Pijpenstrootje",1,,"RG Zachte berk-[Elzen-verbond]+RG Oeverzegge-[Verbond der grote Zeggen]+Veenmosrietland, typische subassociatie+RG Pijpestro-Gw.veenmos-[K.kl.Zeg/V.Biezk.Pijps]","RG Betula pubescens-[Alnion glutinosae]+RG Carex riparia-[Magnocaricion]+Pallavicinio-Sphagnetum typicum+RG Molinia caer-Sphagn pal-[Parvocar/J-Molinion]",5.3348899999999999e-01,"39A-f+08C-a+09A2a+16A-e",
"09A2-6+08B3-4","vegetatie","Riet met veenmossen Typische vorm+Riet, Moeraswalstro en Moerasvaren Typische vorm",5,,"Veenmosrietland, typische subassociatie+Riet-associatie, subassociatie van Moerasvaren","Pallavicinio-Sphagnetum typicum+Typho-Phragmitetum thelypteridetosum",8.9145500000000000e-01,"09A2a+08B3c",
