samengesteld,gegevens,omschrijving,aantal,vereenvoudigd,LandTypeNed,LandTypeWet,opp,SbbType,Bedekking_num
"09A2-4+09-7","vegetatie","Kamvaren, veenmossen en Ronde zonnedauw veenpluis+Paddenrus veenmossen",3,,"Veenmosrietland, subassociatie van pijpestrootje+RG Padderus-[Verb.grote Zeggen/Kl.kleine Zeggen]","Pallavicinio-Sphagnetum molinietosum+RG Juncus subnodulosus-[Magnocaricion/Parvocar.]",2.8710400000000003e-01,"09A2b+09-j",
"09B3-2+09B3-3","vegetatie","Ronde zegge en/of Rood schorpioenmos Sterrengoudmos en Goudsikkelmos+Ronde zegge en/of Rood schorpioenmos Ronde zegge en veenmossen",1,,"Ass. v Schorpioenmos en Ronde zegge, typ. subass+Ass. Schorpioenmos en Ronde zegge, sub. Veenmos","Scorpidio-Caricetum diandrae typicum+Scorpidio-Caricetum diandrae sphagnetosum",4.7617000000000000e-02,"09B3a+09B3b",
"09A2-5+09B3-3","vegetatie","Kamvaren, veenmossen en Ronde zonnedauw Paddenrus+Ronde zegge en/of Rood schorpioenmos Ronde zegge en veenmossen",1,,"Veenmosrietland, subassociatie van pijpestrootje+Ass. Schorpioenmos en Ronde zegge, sub. Veenmos","Pallavicinio-Sphagnetum molinietosum+Scorpidio-Caricetum diandrae sphagnetosum",8.0588999999999994e-02,"09A2b+09B3b",
"16-11+09A2-1","vegetatie","Gestreepte witbol, Fioringras en natte storingssoorten Dominantievorm van Pitrus+Kamvaren, veenmossen en Ronde zonnedauw Typische vorm",1,,"RG Pitrus-[Klasse der vochtige graslanden]+Veenmosrietland, typische subassociatie","RG Juncus effusus-[Molinio-Arrhenatheretea]+Pallavicinio-Sphagnetum typicum",6.0738000000000000e-02,"16-r+09A2a",
"16A-7+16-7","vegetatie","Pijpenstrootje en Blauwe zegge Tandjesgras+Gewoon reukgras, Gewoon struisgras en Rood zwenkgra schrale soorten",1,,"RG Blau.knoop-Blau.zegge-[Vb.Biezenkn.-Pijpest.]+RG G.struisg-G.biggek-[K.dr.gras.zand/K.vo.gras]","RG Succisa prat.-Carex panicea-[Junco-Molinion]+RG Agrostis cap-Hypochae.rad-[Koel-Cor/Mol-Arrh]",9.1616000000000003e-02,"16A-a+16-i",
"16-7+16A-7","vegetatie","Gewoon reukgras, Gewoon struisgras en Rood zwenkgra schrale soorten+Pijpenstrootje en Blauwe zegge Tandjesgras",1,,"RG G.struisg-G.biggek-[K.dr.gras.zand/K.vo.gras]+RG Blau.knoop-Blau.zegge-[Vb.Biezenkn.-Pijpest.]","RG Agrostis cap-Hypochae.rad-[Koel-Cor/Mol-Arrh]+RG Succisa prat.-Carex panicea-[Junco-Molinion]",4.8386999999999999e-02,"16-i+16A-a",
"09A2-5+09-6","vegetatie","Kamvaren, veenmossen en Ronde zonnedauw Paddenrus+Paddenrus Typische vorm",3,,"Veenmosrietland, subassociatie van pijpestrootje+RG Padderus-[Verb.grote Zeggen/Kl.kleine Zeggen]","Pallavicinio-Sphagnetum molinietosum+RG Juncus subnodulosus-[Magnocaricion/Parvocar.]",1.4416100000000001e-01,"09A2b+09-j",
"09A2-4+09-3+09-7","vegetatie","Kamvaren, veenmossen en Ronde zonnedauw veenpluis+Zwarte zegge en Moerasstruisgras Veenpluis+Paddenrus veenmossen",1,,"Veenmosrietland, subassociatie van pijpestrootje+RG Veenpluis-Veenmos-[Kl.kl.Zegge/Kl.hoogveensl]+RG Padderus-[Verb.grote Zeggen/Kl.kleine Zeggen]","Pallavicinio-Sphagnetum molinietosum+RG Eriophorum angustif-Sphag-[Parvocar/Scheuchz]+RG Juncus subnodulosus-[Magnocaricion/Parvocar.]",5.2068099999999995e-01,"09A2b+09-a+09-j",
"16A-7+09A2-4","vegetatie","Pijpenstrootje en Blauwe zegge Tandjesgras+Kamvaren, veenmossen en Ronde zonnedauw veenpluis",1,,"RG Blau.knoop-Blau.zegge-[Vb.Biezenkn.-Pijpest.]+Veenmosrietland, subassociatie van pijpestrootje","RG Succisa prat.-Carex panicea-[Junco-Molinion]+Pallavicinio-Sphagnetum molinietosum",1.9098000000000000e-02,"16A-a+09A2b",
"09-6+09A2-4","vegetatie","Paddenrus Typische vorm+Kamvaren, veenmossen en Ronde zonnedauw veenpluis",9,,"RG Padderus-[Verb.grote Zeggen/Kl.kleine Zeggen]+Veenmosrietland, subassociatie van pijpestrootje","RG Juncus subnodulosus-[Magnocaricion/Parvocar.]+Pallavicinio-Sphagnetum molinietosum",1.4306170000000002e+00,"09-j+09A2b",
"09A2-4+09-6","vegetatie","Kamvaren, veenmossen en Ronde zonnedauw veenpluis+Paddenrus Typische vorm",6,,"Veenmosrietland, subassociatie van pijpestrootje+RG Padderus-[Verb.grote Zeggen/Kl.kleine Zeggen]","Pallavicinio-Sphagnetum molinietosum+RG Juncus subnodulosus-[Magnocaricion/Parvocar.]",6.7341700000000004e-01,"09A2b+09-j",
"16-7+09A2-4+16A-7","vegetatie","Gewoon reukgras, Gewoon struisgras en Rood zwenkgra schrale soorten+Kamvaren, veenmossen en Ronde zonnedauw veenpluis+Pijpenstrootje en Blauwe zegge Tandjesgras",1,,"RG G.struisg-G.biggek-[K.dr.gras.zand/K.vo.gras]+Veenmosrietland, subassociatie van pijpestrootje+RG Blau.knoop-Blau.zegge-[Vb.Biezenkn.-Pijpest.]","RG Agrostis cap-Hypochae.rad-[Koel-Cor/Mol-Arrh]+Pallavicinio-Sphagnetum molinietosum+RG Succisa prat.-Carex panicea-[Junco-Molinion]",8.5153000000000006e-02,"16-i+09A2b+16A-a",
"16-7+09B2-1+09A2-4","vegetatie","Gewoon reukgras, Gewoon struisgras en Rood zwenkgra schrale soorten+Draadzegge Typische vorm+Kamvaren, veenmossen en Ronde zonnedauw veenpluis",1,,"RG G.struisg-G.biggek-[K.dr.gras.zand/K.vo.gras]+Ass. v Draadzegge en Veenpluis, typische subass.+Veenmosrietland, subassociatie van pijpestrootje","RG Agrostis cap-Hypochae.rad-[Koel-Cor/Mol-Arrh]+Eriophoro-Caricetum lasiocarpae typicum+Pallavicinio-Sphagnetum molinietosum",1.2558300000000000e-01,"16-i+09B2a+09A2b",
"09A2-4+09A2-2+09-6","vegetatie","Kamvaren, veenmossen en Ronde zonnedauw veenpluis+Kamvaren, veenmossen en Ronde zonnedauw Pijpenstrootje+Paddenrus Typische vorm",1,,"Veenmosrietland, subassociatie van pijpestrootje+Veenmosrietland, subassociatie van pijpestrootje+RG Padderus-[Verb.grote Zeggen/Kl.kleine Zeggen]","Pallavicinio-Sphagnetum molinietosum+Pallavicinio-Sphagnetum molinietosum+RG Juncus subnodulosus-[Magnocaricion/Parvocar.]",2.1509500000000004e-01,"09A2b+09A2b+09-j",
"16-14+09A2-4","vegetatie","Pijpenstrootje Typische vorm+Kamvaren, veenmossen en Ronde zonnedauw veenpluis",1,,"RG Pijpestro-Gw.veenmos-[K.kl.Zeg/V.Biezk.Pijps]+Veenmosrietland, subassociatie van pijpestrootje","RG Molinia caer-Sphagn pal-[Parvocar/J-Molinion]+Pallavicinio-Sphagnetum molinietosum",1.0218600000000000e-01,"16A-e+09A2b",
