intern_id,ElmID,Datum,Locatietype,SamengesteldeLegenda,VereenvoudigdeLegenda,ToevoegingLegenda,InterpretatieLegenda,AbiotiekLegenda,Oppervlakte,SbbType
1049,17042,"09/06/13 00:00:00","v","32-4+08-3","19","e1+nt+q+r1",,,1.8156700000000001e-01,"32-e+08-d"
1050,17043,"09/06/13 00:00:00","v","08-5+32-4","7","e1+nt+r2",,,6.6943200000000003e-01,"08-f+32-e"
1055,17502,"06/12/13 00:00:00","v","09A-1+09-1","12","e1+q",,,4.0405999999999997e-02,"09A-a+09-f"
1059,17506,"06/12/13 00:00:00","v","09A-1+09-1+09-3","12","e1+p2+q",,,1.3331200000000001e-01,"09A-a+09-f+09-a"
1060,17507,"06/12/13 00:00:00","v","08B3-5+32-9","5","e1+q",,,1.2982700000000000e-01,"08B3b+32-c"
1064,18002,"09/19/13 00:00:00","v","09A2-6+09A2-2","10","e6+h2+v4",,,6.1842799999999998e-01,"09A2a+09A2b"
1067,18005,"09/20/13 00:00:00","v","08-5+08B3-4+32-8","7","e1",,,1.0481799999999998e-01,"08-f+08B3c+32-a"
1068,18006,"09/20/13 00:00:00","v","09A2-8+09A2-2","10","e6+h2+v4",,,1.6610400000000000e-01,"09A2b+09A2b"
1071,18009,"09/20/13 00:00:00","v","09A2-2+09A2-4","10","e5+v4",,,2.3741900000000002e-01,"09A2b+09A2b"
1074,18012,"09/20/13 00:00:00","v","09A2-2+09A2-8","10","e6+v4",,,3.8271699999999997e-01,"09A2b+09A2b"
1075,18013,"09/20/13 00:00:00","v","09A2-8+08B3-3","10","e6+v4",,,6.3479999999999995e-02,"09A2b+08B3c"
1077,18015,"09/20/13 00:00:00","v","08B3-4+09A2-6+08B3-3","5","e2+h2+q+v2",,,3.7948799999999999e-01,"08B3c+09A2a+08B3c"
1083,18021,"09/20/13 00:00:00","v","16-5+32-4","14","e1+m+p2+r2",,,1.6785700000000001e-01,"16-g+32-e"
1084,18022,"09/20/13 00:00:00","v","32-4+16-5","19","e1+m+r4",,,5.2492700000000003e-01,"32-e+16-g"
1087,18025,"09/20/13 00:00:00","v","09A2-2+09A2-8","10","e5+v4",,,7.2970800000000002e-01,"09A2b+09A2b"
1089,18027,"09/20/13 00:00:00","v","09A2-8+09A2-2","10","e5+h3+v4",,,2.6709300000000002e-01,"09A2b+09A2b"
1090,18028,"09/20/13 00:00:00","v","08-2+50A-1","4","e2+q",,,5.3998999999999998e-02,"08-f+50A"
1091,18029,"09/20/13 00:00:00","v","09A2-6+08B3-3","10","e5+h3+v4",,,2.8556799999999999e-01,"09A2a+08B3c"
1093,18031,"09/20/13 00:00:00","v","09A2-6+08B3-3","10","e6+h3+v4",,,1.3383800000000001e-01,"09A2a+08B3c"
1094,18032,"09/20/13 00:00:00","v","09A2-6+08B3-3","10","e6+h2+v4",,,6.7062100000000002e-01,"09A2a+08B3c"
1095,18033,"09/20/13 00:00:00","v","09A2-6+08B3-3","10","e6+h3+v4",,,8.3613800000000005e-01,"09A2a+08B3c"
1096,18034,"09/20/13 00:00:00","v","09A2-8+09A2-2","10","e6+h2+v4",,,2.5073400000000001e-01,"09A2b+09A2b"
1098,18036,"09/20/13 00:00:00","v","08C-11+08-2","6","e2",,,1.2177800000000000e-01,"08C-c+08-f"
1099,18037,"09/20/13 00:00:00","v","09A2-6+08B3-3","10","e6+h3+nt+q+v4",,,2.1844400000000000e-01,"09A2a+08B3c"
1101,18039,"09/20/13 00:00:00","v","09A2-6+08B3-3","10","e6+h3+nt+v4",,,2.6156600000000002e-01,"09A2a+08B3c"
1104,18042,"09/20/13 00:00:00","v","08B3-4+08B3-3","5","e2+nt+q",,,3.6907000000000001e-01,"08B3c+08B3c"
1105,18043,"09/25/13 00:00:00","v","09-13+32-9","7","e1+h3+q",,,5.6135000000000002e-01,"09-g+32-c"
1106,18044,"09/25/13 00:00:00","v","09-13+08B3-3","7","e1+h3+o3+q",,,3.4861300000000001e-01,"09-g+08B3c"
1108,18046,"09/25/13 00:00:00","v","39A-1+39A1-1","24","e6+v3",,,6.1424699999999999e-01,"39A-f+39A1a"
1109,18047,"09/25/13 00:00:00","v","08C-11+09A2-6+08B3-3","6","e2+o3+q+v2",,,4.3766899999999997e-01,"08C-c+09A2a+08B3c"
1112,18050,"09/25/13 00:00:00","v","08B3-3+09-13+08C-10","5","e6+h2+q",,,7.1872599999999998e-01,"08B3c+09-g+08C-a"
1114,18052,"10/17/13 00:00:00","v","09A2-5+09B-4","10","e1+v4",,,1.0444000000000001e-01,"09A2b+09B-a"
1119,18057,"10/17/13 00:00:00","v","08C-6+08C-3","4","e1+o2+q+v2",,,9.0712000000000001e-02,"08C-c+08C-b"
1125,18063,"10/17/13 00:00:00","v","08B3-3+08C-9+08C1-3+08C-8","5","e2+q",,,4.4412000000000000e-02,"08B3c+08C-e+08C1c+08C-c"
1132,18070,"10/17/13 00:00:00","v","09A2-6+09A2-1+08C-11","10","e1+h2+o2+q+v4",,,1.9814599999999999e-01,"09A2a+09A2a+08C-c"
1134,18072,"10/17/13 00:00:00","v","08C-11+09A2-6","6","e1+h2+o2+q+v2",,,3.0190099999999997e-01,"08C-c+09A2a"
1137,18075,"10/17/13 00:00:00","v","08B3-3+08C-11+09A2-6","5","e6+h2+o3+q+v2",,,5.6071700000000002e-01,"08B3c+08C-c+09A2a"
1138,18076,"10/17/13 00:00:00","v","09A2-1+08C-11+09-13","10","e1+h3+o2+q+v4",,,5.4309200000000002e-01,"09A2a+08C-c+09-g"
1139,18077,"10/21/13 00:00:00","v","09A2-6+08C-11+09A2-2","10","e1+h3+o2+q+v4",,,1.3347000000000001e-01,"09A2a+08C-c+09A2b"
1140,18078,"10/21/13 00:00:00","v","08C-11+09A2-6","6","e5+h3+o2+q+v2",,,1.2989300000000001e-01,"08C-c+09A2a"
1141,18079,"10/21/13 00:00:00","v","09A2-2+09A2-6","10","e5+h3+o2+q+v4",,,3.1185499999999999e-01,"09A2b+09A2a"
