Locatie,SoortCode,Bedekking,Aantalsklasse,Bedekking_num
1143,212,"o","3",3
1146,212,"o","4",3
1146,260,"o","4",3
1146,420,"r","3",1
1146,688,"o","4",3
1146,427,"o","4",3
1146,3011,"r","4",1
1146,3172,"r","4",1
1148,212,"o","3",3
1149,260,"o","3",3
1151,260,"o","3",3
1151,688,"f","4",8
1151,239,"la","5",9
2529,212,"ld","4",22
1154,688,"o","3",3
1154,346,"r","3",1
1155,997,"o","3",3
1155,1099,"o","3",3
1155,1255,"la","5",9
1156,1099,"o","3",3
1156,1255,"o","3",3
1159,346,"r","2",1
1159,1324,"o","5",3
1159,1230,"f","5",8
1162,219,"o","3",3
1162,418,"f","5",8
1162,688,"o","5",3
1164,219,"r","2",1
1164,260,"o","5",3
1164,418,"o","4",3
1164,688,"f","5",8
1164,346,"o","3",3
1164,1099,"o","3",3
1164,427,"o","4",3
1164,1324,"r","5",1
1164,1230,"r","4",1
1164,326,"s","2",1
1167,1099,"f","3",8
1167,1255,"r","2",1
1167,638,"o","5",3
1168,890,"r","2",1
1168,418,"o","4",3
1168,420,"r","2",1
1168,1099,"r","1",1
1168,427,"o","5",3
1170,1099,"f","4",8
1170,1255,"o","4",3
1170,638,"s","1",1
1172,688,"o","4",3
1172,1230,"a","4",15
1174,219,"s","1",1
1174,260,"r","4",1
1174,418,"o","4",3
1174,688,"f","5",8
1174,346,"o","3",3
1174,427,"o","5",3
1174,1324,"r","5",1
1174,1230,"s","3",1
1174,326,"s","1",1
1174,1199,"s","1",1
1175,228,"s","1",1
1175,427,"o","3",3
1176,212,"o","4",3
1176,427,"o","3",3
1177,212,"o","4",3
1177,890,"s","1",1
1177,456,"s","1",1
1177,688,"r","4",1
1177,1099,"s","1",1
1177,427,"o","5",3
1177,1230,"r","3",1
1178,212,"a","5",15
1178,427,"r","3",1
1180,212,"r","4",1
1180,237,"s","1",1
1180,688,"s","3",1
1180,1324,"r","5",1
1182,212,"o","3",3
1182,337,"s","2",1
1182,688,"la","5",9
1182,427,"o","4",3
1182,1324,"o","5",3
1182,890,"s","2",1
1183,260,"r","3",1
1183,463,"r","3",1
1183,1099,"s","2",1
1183,1230,"s","3",1
1185,212,"o","4",3
1185,890,"r","2",1
1185,688,"o","4",3
1185,1099,"r","3",1
1185,427,"o","5",3
1185,1324,"o","5",3
1185,1327,"o","3",3
1187,212,"r","3",1
1187,418,"o","4",3
1187,420,"o","3",3
1187,688,"o","5",3
1187,427,"o","4",3
1187,1324,"o","5",3
1190,212,"o","4",3
1190,1099,"r","2",1
1190,427,"o","4",3
1190,651,"s","1",1
1190,1255,"r","5",1
1194,212,"r","4",1
1194,260,"o","3",3
1194,418,"o","4",3
1194,688,"f","5",8
1194,427,"o","5",3
1194,1324,"r","5",1
1194,651,"s","1",1
1194,821,"r","3",1
1195,418,"f","4",8
1195,420,"o","3",3
1196,212,"o","3",3
1196,463,"r","3",1
1196,714,"a","5",15
1196,346,"o","3",3
1196,427,"o","5",3
1196,1324,"o","5",3
1196,1230,"o","4",3
1196,326,"s","1",1
1202,212,"o","3",3
1202,260,"r","3",1
1202,463,"f","3",8
1202,688,"f","5",8
1202,346,"d","3",60
1202,1099,"r","3",1
1202,427,"f","5",8
1202,1324,"a","5",15
1202,326,"f","4",8
1202,821,"r","3",1
1206,212,"r","3",1
1206,260,"o","4",3
1206,890,"lf","3",3
1206,418,"o","4",3
1206,463,"f","4",8
1206,688,"f","5",8
1206,346,"f","5",8
1206,1099,"r","3",1
1206,326,"r","2",1
1206,239,"f","5",8
1206,1051,"s","1",1
1206,1230,"r","4",1
1206,1199,"s","1",1
1207,212,"o","3",3
1209,212,"r","3",1
1211,420,"s","2",1
1211,1324,"r","4",1
1213,212,"r","2",1
1213,248,"s","2",1
1213,260,"o","3",3
1213,463,"s","1",1
1213,688,"a","5",15
1213,1324,"a","5",15
